Country Name,"GHG emissions per kilogram (Poore & Nemecek, 2018)"
Apples,0.43
Bananas,0.86
Barley,1.18
Beet Sugar,1.81
Berries & Grapes,1.53
Brassicas,0.51
Cane Sugar,3.2
Cassava,1.32
Citrus Fruit,0.39
Eggs,4.67
Fish (farmed),13.63
Groundnuts,3.23
Maize,1.7
Milk,3.15
Nuts,0.43
Oatmeal,2.48
Onions & Leeks,0.5
Other Fruit,1.05
Other Pulses,1.79
Other Vegetables,0.53
Peas,0.98
Pig Meat,12.31
Potatoes,0.46
Poultry Meat,9.87
Rice,4.45
Root Vegetables,0.43
Soy milk,0.98
Tofu,3.16
Tomatoes,2.09
Wheat & Rye,1.57
Wine,1.79
