Country Name,Year,Agricultural land (% of land area)
World,1960,..
World,1961,35.8793167047376
World,1962,35.95247026261608
World,1963,36.03538341426645
World,1964,36.1170428251459
World,1965,36.21394093364546
World,1966,36.294320909967105
World,1967,36.389050836517825
World,1968,36.7015793277098
World,1969,36.74275359513358
World,1970,36.650371582575424
World,1971,36.797793691702864
World,1972,36.93124131068155
World,1973,37.0246451755561
World,1974,37.14678579787669
World,1975,37.242388525921115
World,1976,37.24294553918096
World,1977,37.28966253229293
World,1978,37.45449902392719
World,1979,37.532416659843385
World,1980,37.65427139687117
World,1981,37.70388827036709
World,1982,37.82520671853376
World,1983,37.89313471781113
World,1984,38.138917248576774
World,1985,38.40178882744221
World,1986,38.38763150719191
World,1987,38.5524445258239
World,1988,38.71116564272507
World,1989,38.816107470661585
World,1990,38.92994784329453
World,1991,38.97328951563356
World,1992,37.11346503548914
World,1993,37.001242512307584
World,1994,37.176222754802126
World,1995,37.16720184411482
World,1996,37.2287421821785
World,1997,37.36490695768079
World,1998,37.475908137717475
World,1999,37.496551410495215
World,2000,37.52018410756656
World,2001,37.535860187606
World,2002,37.47500405077773
World,2003,37.331860075478744
World,2004,36.97053503887833
World,2005,37.02644678698428
World,2006,37.037442160419104
World,2007,36.97291800549983
World,2008,36.85593542784667
World,2009,36.810781713721575
World,2010,36.805434007783376
World,2011,36.94991875340736
World,2012,36.86775299998143
World,2013,36.7902324763962
World,2014,36.78905099263534
World,2015,36.620495521649204
World,2016,36.58701415369825
World,2017,36.83400084059795
World,2018,36.73845806571344
World,2019,36.76264775998086
World,2020,36.730920286540425
World,2021,36.84166549584336
World,2022,..
World,2023,..
