,Country Name,"GHG emissions per kilogram (Poore & Nemecek, 2018)"
0,Apples,0.43
1,Bananas,0.86
2,Barley,1.18
3,Beef (beef herd),99.48
4,Beef (dairy herd),33.3
5,Beet Sugar,1.81
6,Berries & Grapes,1.53
7,Brassicas,0.51
8,Cane Sugar,3.2
9,Cassava,1.32
10,Cheese,23.88
11,Citrus Fruit,0.39
12,Coffee,28.53
13,Dark Chocolate,46.65
14,Eggs,4.67
15,Fish (farmed),13.63
16,Groundnuts,3.23
17,Lamb & Mutton,39.72
18,Maize,1.7
19,Milk,3.15
20,Nuts,0.43
21,Oatmeal,2.48
22,Onions & Leeks,0.5
23,Other Fruit,1.05
24,Other Pulses,1.79
25,Other Vegetables,0.53
26,Peas,0.98
27,Pig Meat,12.31
28,Potatoes,0.46
29,Poultry Meat,9.87
30,Prawns (farmed),26.87
31,Rice,4.45
32,Root Vegetables,0.43
33,Soy milk,0.98
34,Tofu,3.16
35,Tomatoes,2.09
36,Wheat & Rye,1.57
37,Wine,1.79
